"File_name","Numero_ejecuciones_escenario","Shannon_dbh_min","Shannon_dbh_max","Shannon_dbh_mean","Shannon_altura_min","Shannon_altura_max","Shannon_altura_mean","CV_dbh_min","CV_dbh_max","CV_dbh_mean","CV_altura_min","CV_altura_max","CV_altura_mean"
"LR_SG02_QP2__Output_Plot_sg02.xlsx",14,0,0.37,0.173571428571429,0,0.33,0.0792857142857143,2.32,56.76,22.9507142857143,0.48,21.65,8.56071428571429
"LR_SG02_control__Output_Plot_sg02.xlsx",14,0.03,0.08,0.0557142857142857,0.03,0.12,0.0785714285714286,42.22,56.76,50.6092857142857,10.69,21.65,16.9335714285714
"LR_SG02_expertos__Output_Plot_sg02.xlsx",14,0.03,0.08,0.0514285714285714,0.02,0.24,0.0892857142857143,28.13,56.76,42.7385714285714,5.79,21.65,13.11
"LR_SG02_mix__Output_Plot_sg02.xlsx",14,0.04,0.36,0.174285714285714,0,0.37,0.152142857142857,12.32,56.76,27.155,2.85,21.65,9.69785714285714
"LR_SO02_QP2__Output_Plot_so02.xlsx",14,0.09,0.37,0.218571428571429,0,0.36,0.247142857142857,8.48,33.11,20.0635714285714,3.01,17.08,8.69214285714286
"LR_SO02_control__Output_Plot_so02.xlsx",14,0.05,0.16,0.0992857142857143,0.07,0.37,0.301428571428571,29.67,33.11,31.3842857142857,8.68,17.08,12.1714285714286
"LR_SO02_expertos__Output_Plot_so02.xlsx",14,0.04,0.13,0.085,0.07,0.37,0.276428571428571,23.7,33.11,27.905,6.71,17.08,10.7085714285714
"LR_SO02_mix__Output_Plot_so02.xlsx",14,0.02,0.36,0.160714285714286,0.18,0.37,0.305,12.6,33.11,23.6685714285714,4.18,17.08,9.84357142857143
"LR_irregular_QP2__Output_Plot_sg02_mix.xlsx",14,0.03,0.37,0.191428571428571,0.12,0.37,0.306428571428571,10.01,27.98,16.0535714285714,1.82,12.74,5.46928571428571
"LR_irregular_QP2__Output_Plot_so02_mix.xlsx",14,0.09,0.36,0.205,0.07,0.37,0.297142857142857,11.86,51.29,22.6742857142857,3.21,20.38,8.59785714285714
"LR_irregular_control__Output_Plot_sg02_mix.xlsx",14,0.07,0.3,0.194285714285714,0.12,0.37,0.293571428571429,13.94,16.57,14.6242857142857,2.2,4.84,3.04285714285714
"LR_irregular_control__Output_Plot_so02_mix.xlsx",14,0.02,0.29,0.125,0.07,0.36,0.31,12.86,13.26,13.0328571428571,2.69,4.36,3.57071428571429
"LR_irregular_expertos__Output_Plot_sg02_mix.xlsx",14,0.07,0.34,0.197857142857143,0.08,0.37,0.28,13.5,17.64,14.9128571428571,2.16,6.42,3.72642857142857
"LR_irregular_expertos__Output_Plot_so02_mix.xlsx",14,0.02,0.29,0.149285714285714,0.07,0.37,0.303571428571429,11.61,25.16,14.9114285714286,2.57,10.8,5.03357142857143
"LR_irregular_mix__Output_Plot_sg02_mix.xlsx",14,0.01,0.26,0.163571428571429,0.09,0.37,0.286428571428571,10.15,19.21,14.2857142857143,1.71,8.92,4.20142857142857
"LR_irregular_mix__Output_Plot_so02_mix.xlsx",14,0.09,0.34,0.191428571428571,0,0.36,0.292857142857143,11.35,36.31,16.7792857142857,2.62,15.54,5.95142857142857
